frame,x,y
0,430,367
2,433,367
3,433,367
4,433,367
5,433,367
6,433,367
7,433,367
8,433,367
9,433,367
10,433,367
11,433,367
12,433,367
13,433,367
14,433,367
15,433,367
16,433,367
18,433,367
19,433,367
20,433,367
21,433,367
22,433,367
23,433,367
24,433,367
25,433,367
26,433,367
27,433,367
28,433,367
29,433,367
30,433,367
31,433,367
33,433,367
34,433,367
35,433,367
36,433,367
37,433,367
38,433,367
39,433,367
40,433,367
41,433,367
42,433,367
43,433,367
44,433,367
45,433,367
46,433,367
48,433,367
49,433,367
50,433,367
51,433,367
52,433,367
53,433,367
54,433,367
55,433,367
56,433,367
57,433,367
58,433,367
59,433,367
60,433,367
61,433,367
63,433,367
64,433,367
65,433,367
66,433,367
67,433,367
68,433,367
69,433,367
70,433,367
71,433,367
72,433,367
73,433,368
74,430,370
75,428,370
77,411,370
78,377,371
79,365,372
80,341,372
81,341,372
82,333,372
83,331,372
84,331,372
85,331,372
86,331,372
87,331,372
88,331,372
89,331,372
90,331,372
92,331,372
93,331,372
94,331,372
95,331,372
96,331,372
97,331,372
98,331,372
99,331,372
100,331,372
101,331,372
102,331,372
103,331,372
105,331,372
106,331,372
107,331,372
108,331,372
109,335,368
110,341,367
111,351,365
112,422,345
113,448,339
114,482,332
115,521,321
116,533,318
117,569,302
119,581,296
120,584,296
121,584,293
122,584,293
123,585,293
124,590,290
125,591,290
126,599,288
127,599,288
128,607,286
129,609,286
130,609,286
131,611,286
133,611,286
134,612,286
135,613,286
136,614,286
137,614,286
138,614,286
139,614,286
140,614,286
141,614,286
142,614,286
143,614,286
144,614,286
145,614,286
146,614,286
148,614,286
149,614,286
150,614,286
151,614,286
152,614,286
153,614,286
154,614,286
155,614,287
156,613,287
157,613,287
158,611,291
159,608,297
160,606,299
161,603,308
162,599,315
164,599,315
165,596,324
166,587,352
167,588,374
168,588,374
169,596,388
170,596,388
171,596,388
172,596,388
173,596,388
174,596,388
175,596,388
176,596,388
178,596,388
179,596,388
180,596,388
181,596,388
182,596,388
183,596,388
184,596,388
185,596,388
186,596,388
187,594,388
188,593,389
189,592,389
190,592,389
192,590,389
193,590,389
194,590,389
195,590,389
196,590,389
197,590,389
198,591,389
199,632,415
200,641,420
201,676,446
202,677,447
203,679,449
204,679,450
205,679,450
207,679,450
208,679,450
209,679,450
210,679,450
211,679,450
212,679,450
213,679,450
214,679,450
215,679,450
216,678,450
217,664,452
218,664,452
