frame,x,y,button,event
72,58,330,Button.left,Pressed
79,58,330,Button.left,Released
360,650,314,Button.left,Pressed
367,650,314,Button.left,Released
511,662,342,Button.left,Pressed
517,662,342,Button.left,Released
800,597,364,Button.left,Pressed
808,597,364,Button.left,Released
914,599,362,Button.left,Pressed
944,557,362,Button.left,Released
1106,618,407,Button.left,Pressed
1112,618,407,Button.left,Released
1133,631,391,Button.left,Pressed
1143,631,391,Button.left,Released
1253,631,391,Button.left,Pressed
1318,598,385,Button.left,Released
1345,602,407,Button.left,Pressed
1353,602,407,Button.left,Released
1481,597,526,Button.left,Pressed
1489,597,526,Button.left,Released
