frame,key,event
350,Key.caps_lock,Pressed
359,Key.caps_lock,Released
368,'a',Pressed
374,'a',Released
381,'a',Pressed
387,'a',Released
438,'-',Pressed
443,'-',Released
460,'b',Pressed
465,'b',Released
470,'b',Pressed
475,'b',Released
525,'-',Pressed
529,'-',Released
540,'c',Pressed
545,'c',Released
551,'c',Pressed
559,'c',Released
573,'-',Pressed
580,'-',Released
609,'e',Pressed
615,'e',Released
621,'e',Pressed
625,'e',Released
671,'-',Pressed
677,'-',Released
714,'f',Pressed
717,'f',Released
724,'f',Pressed
729,'f',Released
878,'1',Pressed
886,'1',Released
914,'9',Pressed
918,'9',Released
923,'2',Pressed
929,'2',Released
947,'.',Pressed
951,'.',Released
958,'1',Pressed
965,'1',Released
983,'6',Pressed
987,'6',Released
998,'8',Pressed
1000,'8',Released
1023,'.',Pressed
1027,'.',Released
1031,'1',Pressed
1039,'1',Released
1050,'.',Pressed
1054,'.',Released
1175,'4',Pressed
1180,'4',Released
1192,'3',Pressed
1198,'3',Released
