frame,x,y
0,71,80
1,68,78
2,68,78
3,68,78
4,68,78
5,69,78
6,69,80
7,69,80
8,124,124
9,142,129
10,144,134
11,157,144
12,157,144
13,157,146
14,159,142
15,159,144
16,159,144
17,169,147
18,408,173
19,557,210
20,635,225
21,643,227
22,658,244
23,660,251
24,660,249
25,660,249
26,660,249
27,660,249
28,660,249
29,660,249
30,660,249
31,664,249
32,664,251
33,664,249
34,664,249
35,664,249
36,664,249
37,663,250
38,664,249
39,664,249
40,664,249
41,664,249
42,664,249
43,664,249
44,774,252
45,1204,449
46,1588,718
47,1691,801
48,1747,868
49,1803,902
50,1823,941
51,1823,951
52,1823,951
53,1821,951
54,1821,951
55,1820,948
56,1820,948
57,1820,948
58,1820,948
59,1820,951
60,1820,951
61,1820,951
62,1810,931
63,1517,718
64,1478,701
65,1825,907
68,1864,1029
69,1849,1017
70,1849,980
71,1849,970
72,1847,972
73,1849,972
74,1849,972
