frame,x,y
0,1852,196
1,1851,196
2,1851,196
3,1851,196
4,1523,428
5,1184,622
6,1120,604
7,1028,578
8,1011,567
9,1011,553
10,1011,553
11,1011,555
12,1011,552
13,1011,552
14,1011,555
15,1011,555
16,1011,555
17,1011,555
18,1013,555
19,1006,558
20,966,582
21,940,583
22,933,583
23,864,553
24,864,555
25,869,553
26,868,553
27,866,548
28,866,550
29,866,548
30,866,548
31,866,548
32,866,548
33,866,548
34,866,548
35,866,548
36,866,548
37,866,548
38,866,548
39,866,548
40,866,548
41,866,548
42,866,548
43,866,548
44,866,548
45,866,548
46,866,548
47,866,548
48,866,548
49,866,548
50,866,548
51,866,548
52,866,548
53,866,548
54,866,548
55,866,548
56,866,548
57,866,548
58,866,548
59,866,548
60,866,548
61,866,548
62,866,548
63,866,548
64,866,548
65,866,548
66,866,548
67,866,548
68,866,548
69,866,548
70,866,548
71,866,548
72,866,548
73,866,548
74,866,548
75,866,548
76,866,548
77,866,548
78,866,548
79,866,548
80,866,548
81,866,548
82,866,548
83,866,548
84,881,547
85,940,543
86,951,545
87,951,545
88,951,545
89,951,545
90,951,545
91,951,545
92,938,545
93,874,527
94,739,460
95,532,380
96,390,311
97,331,259
98,229,197
99,221,196
100,221,196
101,219,196
102,219,196
103,221,194
104,221,194
105,221,194
106,221,196
107,221,196
108,221,196
109,221,196
110,221,196
111,221,196
112,221,194
113,221,194
114,221,194
115,221,194
116,221,194
117,221,194
118,221,194
119,221,194
120,221,194
121,334,232
122,695,388
123,838,488
124,854,495
125,853,495
126,853,495
127,853,495
128,853,495
129,853,495
130,853,495
131,853,497
132,853,497
133,853,497
134,853,497
135,853,497
136,853,497
137,853,497
138,853,497
139,853,497
140,853,497
141,853,497
142,853,497
143,853,497
144,853,497
145,853,497
146,853,497
147,853,497
148,854,498
149,853,498
150,853,498
151,853,498
152,853,498
153,853,498
154,853,498
155,853,498
156,853,498
157,853,498
158,853,498
159,853,498
160,853,498
161,853,498
162,853,498
163,853,498
164,853,498
165,853,498
166,853,498
167,853,498
168,853,498
169,853,498
170,853,498
171,853,498
172,853,498
173,853,498
174,853,498
175,853,498
176,853,498
177,853,498
178,853,498
179,853,498
180,853,498
181,853,498
182,853,498
183,853,498
184,853,498
185,853,500
186,853,498
187,853,498
188,853,498
189,853,498
190,854,505
191,853,503
192,854,503
193,888,530
194,1013,582
195,1028,587
196,1043,578
