frame,x,y
0,657,289
1,657,289
2,657,291
3,660,305
4,672,325
5,672,325
6,672,323
7,672,323
8,674,342
9,675,349
10,672,366
11,672,367
12,672,367
13,672,367
14,677,393
15,677,391
16,677,381
17,675,396
18,675,394
19,672,396
20,675,401
21,675,433
22,675,440
23,674,438
24,674,438
25,675,447
26,681,481
27,679,484
28,677,488
29,675,482
30,675,482
31,675,481
32,675,481
33,675,482
34,675,481
35,674,481
36,674,481
37,677,498
38,677,510
39,677,510
40,677,510
41,675,510
42,675,510
43,675,506
44,675,513
45,675,513
46,675,513
47,769,567
48,1124,662
49,1512,769
50,1769,833
52,1915,933
53,1916,950
54,1857,978
55,1843,965
56,1837,953
57,1837,956
58,1837,956
59,1837,956
60,1837,956
61,1837,956
62,1837,956
63,1835,958
64,1838,956
65,1838,956
66,1838,956
67,1835,951
68,1835,951
69,1835,951
