frame,x,y
0,227,911
1,227,924
2,239,958
3,237,956
4,242,943
5,245,934
6,245,936
7,245,936
8,245,936
9,244,933
10,244,933
11,244,933
12,262,912
13,289,826
14,289,823
15,232,809
16,235,809
17,234,813
18,234,807
19,498,665
20,777,452
21,811,437
22,807,437
23,818,430
24,909,367
25,975,284
26,985,256
27,984,240
28,985,239
29,995,237
30,1083,322
31,1122,367
32,1141,377
33,1175,501
34,1168,542
35,1168,562
36,1170,533
37,1171,520
38,1171,525
39,1171,525
40,1171,526
41,1171,526
42,1171,526
43,1180,521
44,1180,521
45,1178,520
46,1178,520
47,1178,520
48,1178,520
49,1178,520
50,1178,520
51,1178,520
52,1178,520
53,1178,520
54,1178,520
55,1178,520
56,1178,520
57,1178,520
58,1178,520
59,1178,520
60,1178,520
61,1178,520
62,1178,520
63,1178,520
64,1178,520
66,1178,520
67,1178,520
68,1178,525
69,1171,532
70,1170,537
71,1168,537
72,1160,545
73,1154,555
74,1153,557
75,1153,559
76,1153,559
77,1153,559
