frame,x,y
0,83,218
1,83,218
2,83,219
3,83,223
4,84,225
5,84,227
6,84,230
7,84,232
8,85,234
9,85,234
10,85,234
11,85,234
12,85,234
13,85,234
14,85,234
15,85,234
16,85,234
17,85,234
18,85,234
19,85,234
20,85,234
21,85,234
22,85,234
23,85,234
24,85,234
25,85,234
26,85,234
27,85,234
28,85,234
29,85,234
30,85,234
31,85,234
32,85,234
33,85,235
34,85,239
35,86,243
36,87,248
37,88,254
38,92,265
39,99,274
40,103,280
41,108,286
42,112,293
43,114,298
44,115,303
45,116,310
46,116,316
47,116,322
48,116,329
49,116,333
50,117,335
51,117,335
52,117,335
53,117,335
54,117,335
55,117,335
56,116,335
57,115,335
58,113,335
59,110,335
60,106,335
61,105,335
62,104,335
63,104,335
64,104,335
65,104,335
66,104,335
67,104,335
68,104,337
69,104,339
70,104,343
71,104,345
72,104,346
73,104,346
74,104,346
75,104,346
76,104,346
77,104,346
78,104,346
79,104,346
80,104,346
81,104,346
82,104,346
83,104,346
84,104,346
85,104,346
86,104,346
87,104,346
88,104,346
89,105,347
90,108,347
91,119,351
92,132,353
93,153,358
94,181,364
95,205,371
96,229,377
97,247,379
98,262,380
100,294,386
101,309,390
102,318,392
103,324,393
104,329,393
105,332,393
106,336,393
107,342,392
108,366,392
109,380,389
110,394,384
111,398,383
112,398,382
113,396,379
114,393,376
115,391,374
116,388,371
117,385,370
118,380,369
119,373,367
120,367,366
121,360,364
122,355,364
123,353,364
124,351,365
125,351,365
126,351,365
127,350,365
128,347,365
129,345,365
130,343,365
131,341,365
132,340,365
133,339,365
134,337,364
135,333,364
136,330,364
137,329,364
138,329,364
139,329,364
140,329,364
141,329,364
142,329,364
143,329,364
144,329,364
145,329,364
146,329,364
147,329,364
148,329,364
149,329,364
150,329,364
151,329,364
152,329,364
153,329,364
154,329,364
155,329,364
156,330,364
157,330,363
158,330,363
159,330,363
160,330,362
161,330,361
162,330,360
163,330,358
164,325,353
165,320,348
166,312,334
167,300,315
168,286,286
169,277,268
170,266,248
171,247,219
172,239,206
173,219,187
174,211,181
175,205,175
176,202,172
177,197,167
178,196,165
179,192,158
