frame,x,y,button,event
28,153,981,Button.left,Pressed
33,153,981,Button.left,Released
38,153,981,Button.left,Pressed
43,153,981,Button.left,Released
52,154,981,Button.left,Pressed
58,154,981,Button.left,Released
71,154,981,Button.left,Pressed
77,154,981,Button.left,Released
92,154,981,Button.left,Pressed
96,154,981,Button.left,Released
158,161,981,Button.left,Pressed
163,161,981,Button.left,Released
210,303,971,Button.left,Pressed
215,303,971,Button.left,Released
220,303,971,Button.left,Pressed
226,303,971,Button.left,Released
231,303,971,Button.left,Pressed
238,303,971,Button.left,Released
251,303,971,Button.left,Pressed
257,303,971,Button.left,Released
271,303,971,Button.left,Pressed
277,303,971,Button.left,Released
296,302,970,Button.left,Pressed
301,302,970,Button.left,Released
339,226,1008,Button.left,Pressed
344,226,1008,Button.left,Released
449,437,768,Button.left,Pressed
456,437,768,Button.left,Released
464,437,768,Button.left,Pressed
468,437,768,Button.left,Released
474,437,769,Button.left,Pressed
479,437,769,Button.left,Released
484,437,769,Button.left,Pressed
490,437,769,Button.left,Released
494,437,769,Button.left,Pressed
501,437,769,Button.left,Released
528,437,769,Button.left,Pressed
534,437,769,Button.left,Released
592,534,765,Button.left,Pressed
597,534,765,Button.left,Released
630,534,765,Button.left,Pressed
636,534,765,Button.left,Released
775,356,1007,Button.left,Pressed
