frame,x,y
0,120,187
1,120,177
2,120,176
3,120,174
4,120,173
5,120,172
6,121,171
7,121,171
8,121,171
9,121,171
10,121,171
11,122,171
12,122,171
13,124,170
14,125,169
15,125,169
16,128,167
17,128,167
18,129,165
19,132,161
20,132,160
21,132,160
22,132,159
23,132,159
24,132,159
25,132,159
26,132,159
27,132,159
28,132,159
29,132,159
30,132,159
31,132,159
32,132,159
33,132,159
34,132,159
35,132,159
36,132,159
37,132,159
38,132,159
39,132,159
40,132,159
41,132,159
42,132,159
43,132,159
44,132,159
45,132,159
46,132,159
47,132,159
48,132,159
49,132,159
50,132,159
51,132,159
52,132,159
53,132,159
54,132,159
55,132,159
56,132,159
57,132,159
58,132,159
59,132,159
60,132,159
61,132,159
62,132,159
63,132,159
64,132,159
65,132,159
66,132,159
67,132,159
68,132,159
69,132,159
70,132,159
71,132,159
72,132,159
73,132,159
74,132,159
75,132,159
76,132,159
77,132,159
78,132,159
79,132,159
80,132,159
81,132,159
82,132,159
83,132,159
84,132,159
85,132,159
86,132,159
87,132,159
88,132,159
89,132,159
90,132,159
91,132,159
92,132,159
93,132,159
94,132,159
95,132,159
96,132,159
97,132,159
98,132,159
99,132,159
100,132,159
101,132,159
102,132,159
103,132,159
104,132,159
105,132,159
106,132,159
107,132,159
108,132,159
109,132,159
110,132,159
111,132,159
112,132,159
113,132,159
114,132,159
115,132,159
116,132,159
117,132,159
118,132,159
119,133,161
120,140,170
121,188,231
122,188,231
123,199,249
124,209,266
125,209,266
126,271,480
127,275,528
128,280,541
129,280,542
130,280,542
131,280,543
132,281,549
133,281,552
134,283,561
135,283,563
136,283,563
137,284,567
138,282,568
139,280,570
140,280,570
141,279,571
142,277,572
143,275,572
144,275,572
145,271,572
146,271,572
147,257,558
148,236,540
149,228,533
150,225,529
151,223,526
152,223,524
153,223,524
154,223,524
155,223,523
156,223,523
157,224,523
158,224,523
159,224,523
160,224,522
161,224,521
162,224,521
163,224,520
164,224,520
165,224,520
166,224,520
167,224,520
168,224,520
169,224,520
170,223,520
171,222,520
172,222,520
173,222,519
174,222,519
175,222,519
176,222,519
177,221,519
178,221,519
179,221,519
180,221,519
181,221,519
182,221,519
183,221,519
184,221,519
185,221,519
186,221,519
187,221,519
188,221,519
189,221,519
190,221,519
191,221,519
192,221,519
193,221,519
194,221,519
195,221,519
196,221,519
197,221,519
198,221,519
199,221,519
200,221,519
201,221,520
202,221,520
203,221,520
204,221,520
205,221,520
206,221,520
207,221,520
208,221,520
209,221,520
210,221,520
211,221,520
212,221,520
213,221,520
214,221,520
215,221,520
216,221,520
217,221,520
218,220,520
219,219,519
220,217,518
221,217,517
222,216,517
223,216,517
224,216,517
225,216,517
226,216,517
227,216,517
228,216,517
229,216,517
230,216,517
231,216,516
232,216,516
233,216,516
234,216,516
235,216,516
236,216,516
237,216,516
238,216,516
239,216,516
240,216,516
241,216,516
242,216,516
243,216,516
244,216,516
245,216,516
246,216,516
247,216,516
248,216,516
249,216,516
250,216,516
251,216,516
252,216,516
253,216,516
254,216,516
255,217,516
256,218,514
257,218,514
258,220,513
259,221,512
260,221,512
261,222,508
262,222,508
263,223,505
264,216,440
265,216,440
266,205,422
267,199,414
268,141,331
269,137,306
270,137,291
271,140,279
272,141,278
273,143,273
274,143,271
275,143,264
276,142,262
277,137,251
278,137,251
279,127,237
280,122,224
281,120,214
282,119,210
283,118,208
284,116,206
285,114,204
286,113,203
287,113,203
288,113,203
289,113,203
290,112,203
291,112,203
292,111,203
293,111,203
294,111,203
295,111,203
296,111,203
297,110,203
298,110,203
299,110,204
