frame,x,y,button,event
41,101,242,Button.left,Pressed
45,101,242,Button.left,Released
114,153,259,Button.left,Pressed
117,153,259,Button.left,Released
266,216,536,Button.left,Pressed
272,216,536,Button.left,Released
309,220,541,Button.left,Pressed
315,220,541,Button.left,Released
371,106,574,Button.left,Pressed
378,106,575,Button.left,Released
504,217,650,Button.left,Pressed
511,217,650,Button.left,Released
538,218,650,Button.left,Pressed
545,218,650,Button.left,Released
655,215,687,Button.left,Pressed
663,215,687,Button.left,Released
686,215,687,Button.left,Pressed
692,215,687,Button.left,Released
