frame,x,y
0,1432,717
1,1432,717
2,1432,717
3,1432,717
4,1432,717
5,1432,717
6,1432,717
7,1432,717
8,1432,717
9,1432,717
10,1432,717
11,1432,717
12,1432,717
13,1432,717
14,1432,717
15,1432,717
16,1432,717
17,1432,717
18,1432,717
19,1432,717
20,1432,717
21,1432,717
22,1432,717
23,1432,717
24,1432,717
25,1432,717
26,1432,717
27,1432,717
28,1432,717
29,1432,717
30,1432,717
31,1432,717
32,1432,717
33,1432,717
34,1432,717
35,1432,717
36,1432,717
37,1432,717
38,1432,717
39,1432,717
40,1432,717
41,1432,717
42,1429,714
43,1423,710
44,1415,704
45,1407,696
46,1398,686
47,1388,677
48,1380,670
49,1372,664
50,1366,660
51,1359,657
52,1353,655
53,1348,652
54,1341,649
55,1331,648
56,1318,646
57,1304,644
58,1293,640
59,1280,637
60,1276,635
61,1280,634
62,1287,634
63,1287,634
64,1287,634
65,1287,634
66,1287,634
67,1287,634
68,1287,634
69,1287,634
70,1287,634
71,1287,634
72,1287,634
73,1287,634
74,1287,633
75,1287,630
76,1287,630
77,1287,629
78,1287,627
79,1287,624
80,1287,622
81,1287,618
82,1287,616
83,1287,612
84,1287,610
85,1287,607
86,1288,603
87,1288,599
88,1289,584
89,1290,567
90,1290,546
91,1289,525
92,1287,502
93,1283,479
94,1280,462
95,1280,445
96,1280,433
97,1280,424
98,1280,420
99,1280,419
100,1280,419
101,1280,419
102,1280,419
103,1280,419
104,1280,419
105,1280,419
106,1280,419
107,1280,419
108,1280,419
109,1280,419
110,1280,419
111,1280,419
112,1280,419
113,1280,420
114,1280,423
115,1280,424
116,1280,425
117,1280,425
118,1279,425
119,1279,426
120,1279,426
121,1279,426
122,1279,426
123,1279,426
124,1279,426
125,1279,426
126,1279,426
127,1279,426
128,1279,426
129,1279,426
130,1279,426
131,1279,428
132,1278,430
133,1278,430
134,1278,431
135,1278,431
136,1278,431
137,1278,431
138,1277,432
139,1277,432
140,1276,433
141,1275,434
142,1275,434
143,1275,434
144,1275,434
145,1275,434
146,1275,434
147,1275,434
148,1275,434
149,1275,434
150,1275,434
151,1275,434
152,1275,434
153,1275,434
154,1275,434
155,1275,434
156,1275,434
157,1275,434
158,1275,434
159,1275,434
160,1275,434
161,1275,434
162,1275,434
163,1275,434
164,1275,434
165,1275,434
166,1275,434
167,1275,434
168,1275,434
169,1275,434
170,1275,434
171,1275,434
172,1275,434
173,1275,434
174,1275,434
175,1275,434
176,1275,434
177,1275,434
178,1275,434
179,1275,434
180,1275,434
181,1275,434
182,1275,434
183,1275,434
184,1275,434
185,1275,434
186,1275,434
187,1275,434
188,1275,434
189,1275,434
190,1275,434
191,1275,434
192,1275,434
193,1275,434
194,1275,434
195,1275,434
196,1275,434
197,1275,434
198,1275,434
199,1275,434
200,1275,434
201,1275,434
202,1275,434
203,1275,434
204,1275,434
205,1275,434
206,1275,434
207,1275,434
208,1275,434
209,1275,434
210,1275,434
211,1275,434
212,1275,434
213,1275,434
214,1275,434
215,1275,434
216,1275,434
217,1275,434
218,1275,434
219,1275,434
220,1275,434
221,1275,434
222,1275,434
223,1275,434
224,1275,434
225,1275,434
226,1275,434
227,1275,434
228,1275,434
229,1275,434
230,1275,434
231,1275,434
232,1275,434
233,1275,434
234,1275,434
235,1275,434
236,1275,434
237,1275,434
238,1275,434
239,1275,434
240,1275,434
241,1275,434
242,1275,434
243,1275,434
244,1275,434
245,1275,434
246,1275,434
247,1275,434
248,1275,434
249,1275,434
250,1275,434
251,1275,434
252,1275,434
253,1275,434
254,1275,434
255,1275,434
256,1275,434
257,1275,434
258,1275,434
259,1275,434
260,1275,434
261,1275,434
262,1275,434
263,1275,434
264,1275,434
265,1275,434
266,1275,434
267,1275,434
268,1275,434
269,1275,434
270,1275,434
271,1275,434
272,1275,434
273,1275,434
274,1275,434
275,1275,434
276,1275,434
277,1275,434
278,1275,434
279,1275,434
280,1275,434
281,1275,434
282,1275,434
283,1275,434
284,1275,434
285,1275,434
286,1275,434
287,1275,434
288,1275,434
289,1275,434
290,1275,434
291,1275,434
292,1275,434
293,1275,434
294,1275,434
295,1275,434
296,1275,434
297,1275,434
298,1275,434
299,1275,434
300,1275,434
301,1275,434
302,1275,434
303,1275,434
304,1275,434
305,1275,434
306,1275,434
307,1275,434
308,1275,434
309,1275,434
310,1275,434
311,1275,434
312,1275,434
313,1275,434
314,1275,434
315,1275,434
316,1275,434
317,1275,434
318,1275,434
319,1275,434
320,1275,434
321,1275,434
322,1275,434
323,1275,434
324,1275,434
325,1275,434
326,1275,434
327,1275,434
328,1275,434
329,1275,434
330,1275,434
331,1275,434
332,1275,434
333,1275,434
334,1275,434
335,1275,434
336,1275,434
337,1275,434
338,1275,434
339,1275,434
340,1275,434
341,1275,434
342,1275,434
343,1275,434
344,1275,434
345,1275,434
346,1275,434
347,1275,434
348,1275,434
349,1277,432
350,1282,427
351,1284,424
352,1287,421
353,1289,417
354,1291,415
355,1292,412
356,1293,410
357,1293,408
358,1293,408
359,1293,408
360,1293,408
361,1293,408
362,1291,408
363,1287,408
364,1283,411
365,1280,414
366,1277,416
367,1268,426
368,1259,434
369,1250,442
370,1241,449
371,1234,454
372,1229,460
373,1223,468
374,1215,480
375,1207,491
376,1199,505
377,1186,535
378,1173,567
379,1161,604
380,1148,647
381,1136,682
382,1121,711
383,1100,751
384,1070,786
385,1058,789
386,1044,778
387,1044,778
388,1044,778
389,1044,778
390,1044,778
391,1044,778
392,1044,778
393,1044,778
394,1044,778
395,1044,778
396,1044,778
397,1044,778
398,1044,773
399,1046,764
400,1044,760
401,1041,754
402,1038,750
403,1035,745
404,1032,739
405,1027,732
406,1019,715
407,1011,702
408,999,680
409,986,658
410,977,640
411,968,623
412,965,616
413,952,590
414,943,577
415,935,568
416,930,559
417,925,550
418,921,544
419,921,544
420,914,534
421,911,528
422,909,520
423,908,511
424,905,503
425,902,496
426,901,491
427,900,486
428,900,482
429,900,480
430,900,476
431,900,474
432,900,469
433,901,466
434,902,464
435,903,462
436,903,461
437,903,461
438,903,461
439,903,461
440,903,461
441,903,461
442,903,461
443,903,461
444,903,461
445,903,461
446,903,461
447,903,461
448,903,461
449,903,461
450,903,461
451,903,461
452,903,461
453,903,461
454,903,461
455,903,461
456,903,461
457,903,461
458,903,461
459,903,463
