frame,key,event
176,'v',Pressed
184,'v',Released
186,'o',Pressed
190,'o',Released
199,'l',Pressed
204,'l',Released
224,'t',Pressed
228,'a',Pressed
235,'a',Released
237,'g',Pressed
241,'g',Released
244,'e',Pressed
252,'e',Released
384,'a',Pressed
391,'a',Released
392,'m',Pressed
395,'p',Pressed
398,'m',Released
402,'p',Released
645,'1',Pressed
651,'1',Released
688,'0',Pressed
694,'0',Released
715,'1',Pressed
721,'0',Pressed
725,'0',Released
730,'0',Pressed
734,'0',Released
738,'0',Pressed
743,'0',Released
865,'1',Pressed
872,'1',Released
1138,'2',Pressed
1144,'2',Released
1147,'0',Pressed
1152,'0',Released
1156,'0',Pressed
1165,'0',Released
