frame,x,y,button,event
21,519,176,Button.left,Pressed
23,519,176,Button.left,Released
28,519,176,Button.left,Pressed
33,519,176,Button.left,Released
68,996,366,Button.left,Pressed
74,995,367,Button.left,Released
326,992,390,Button.left,Pressed
331,992,390,Button.left,Released
580,996,458,Button.left,Pressed
586,996,458,Button.left,Released
675,1037,491,Button.left,Pressed
681,1037,491,Button.left,Released
703,1011,513,Button.left,Pressed
707,1011,513,Button.left,Released
753,987,556,Button.left,Pressed
757,987,556,Button.left,Released
944,962,592,Button.left,Pressed
983,966,507,Button.left,Released
1009,952,607,Button.left,Pressed
1014,952,607,Button.left,Released
1028,954,617,Button.left,Pressed
1033,954,617,Button.left,Released
1185,1056,797,Button.left,Pressed
1190,1056,797,Button.left,Released
1229,642,193,Button.left,Pressed
1232,642,193,Button.left,Released
1235,642,193,Button.left,Pressed
1241,645,191,Button.left,Released
