frame,x,y
0,1389,374
1,1386,374
2,1383,376
3,1379,380
4,1379,378
5,1376,393
6,1376,393
7,1376,393
8,1366,390
9,1356,385
10,1356,385
11,1356,385
12,1356,385
13,1356,385
14,1356,385
15,1356,385
16,1297,390
17,1112,393
18,828,438
19,567,500
20,552,508
21,553,515
22,545,537
23,530,548
24,517,552
25,515,553
26,515,552
27,517,553
28,517,555
29,522,555
30,523,555
31,523,555
32,523,555
33,523,555
34,523,553
35,523,553
36,523,553
37,523,553
38,523,553
39,523,553
40,537,553
41,620,552
42,721,555
43,757,555
44,878,555
45,941,568
46,950,580
47,950,582
48,951,588
49,951,592
50,948,592
51,948,592
52,948,592
53,948,592
54,948,592
