frame,x,y
0,1380,391
1,1380,391
2,1380,391
3,1380,391
4,1380,391
5,1380,391
6,967,587
7,941,591
8,928,589
9,926,577
10,926,565
11,924,537
12,916,528
13,916,523
14,921,520
15,923,516
16,924,513
17,928,511
18,926,510
19,928,510
20,928,510
21,928,510
22,928,508
23,936,504
24,1036,484
25,1102,471
26,1371,401
27,1381,394
28,1383,391
29,1380,391
30,1380,391
31,1380,391
32,1380,391
33,1144,466
34,955,564
35,865,586
36,862,589
37,855,589
38,823,570
39,819,567
40,814,560
41,814,557
42,814,557
43,814,555
44,814,554
45,814,555
46,813,555
47,835,555
48,1237,416
49,1320,371
50,1342,371
51,1353,369
52,1364,383
53,1363,398
54,1361,394
55,1361,394
56,1361,394
57,1361,394
58,995,464
59,807,513
60,570,559
61,554,554
62,532,554
63,471,555
64,466,555
65,460,554
66,457,555
67,457,555
68,454,557
69,454,557
70,454,559
71,454,559
72,454,559
73,454,559
74,454,559
75,454,559
76,462,559
77,635,543
78,1051,486
79,1256,484
80,1256,484
81,1287,482
82,1522,472
83,1600,464
84,1627,455
85,1654,437
86,1669,428
87,1679,427
88,1696,425
89,1711,427
90,1720,428
91,1720,428
92,1725,428
93,1727,427
94,1727,427
95,1727,432
96,1727,432
97,1727,432
98,1727,432
99,1727,432
100,1727,432
101,1427,484
102,1187,533
103,1185,533
104,1117,559
105,1088,562
106,1077,567
107,1055,567
108,1053,567
109,1053,567
110,1058,557
111,1073,457
112,1070,452
113,1070,449
114,1072,450
