frame,x,y
0,1241,594
1,1270,581
2,1270,577
3,1287,562
4,1287,562
5,1288,565
6,1288,565
7,1288,565
8,1288,565
9,1292,565
10,1293,572
11,1268,584
12,1261,587
13,1176,604
14,1007,620
15,875,636
16,841,643
17,841,643
18,833,653
19,828,670
20,826,674
21,819,682
22,819,682
23,816,684
24,816,684
25,816,684
26,809,687
27,809,689
28,809,689
29,809,689
30,809,689
31,809,689
32,897,655
33,1012,613
34,1012,599
35,997,592
36,941,577
37,939,576
38,939,567
39,931,564
40,931,564
41,933,565
42,934,562
43,941,555
44,939,555
45,939,557
46,980,565
