frame,x,y
0,1320,276
1,1329,267
2,1332,266
3,1332,266
4,1295,293
5,1085,413
6,997,432
7,987,430
8,967,432
9,970,433
10,1183,388
11,1293,347
12,1302,339
13,1324,330
14,1332,325
15,1334,322
16,1334,322
17,1334,323
18,1259,355
19,951,430
20,926,432
21,921,433
22,919,433
23,919,433
24,919,433
25,926,435
26,928,438
27,928,438
28,928,438
29,965,435
30,1231,420
31,1317,425
32,1383,433
33,1391,433
34,1391,438
35,1388,438
36,1324,455
37,1046,523
38,987,564
39,972,594
40,973,599
41,975,601
42,980,569
43,960,482
44,941,466
