frame,x,y
0,1331,267
1,1334,269
2,1337,271
3,1288,291
4,936,410
5,792,462
6,785,471
7,785,469
8,785,471
9,836,460
10,850,459
11,850,459
12,851,459
13,850,459
14,1100,411
15,1353,354
16,1478,310
17,1524,298
18,1562,303
19,1747,347
20,1799,377
21,1811,398
22,1813,440
23,1811,444
24,1811,444
25,1811,444
26,1650,308
27,1569,264
28,1539,249
29,1540,237
30,1539,234
31,1544,239
32,1525,244
33,1420,311
34,1322,342
35,1320,344
36,1324,342
37,1329,339
38,1334,339
39,1339,335
40,1337,337
41,1251,357
42,813,428
43,677,462
44,618,476
45,592,479
46,569,484
47,565,479
48,564,476
49,562,474
50,560,474
51,562,474
52,562,474
53,562,474
54,560,474
55,559,474
56,559,474
57,559,474
58,559,474
59,559,474
60,758,444
61,1209,383
62,1400,377
63,1410,381
64,1380,386
65,1359,391
66,1342,393
67,1334,389
68,1334,389
69,1334,389
70,1298,405
71,984,471
72,901,484
73,901,484
74,877,486
75,858,486
76,848,484
77,845,484
78,843,484
79,843,484
80,843,484
81,843,484
82,857,481
83,1043,428
84,1305,383
85,1474,403
86,1524,415
87,1507,428
88,1479,440
89,1400,444
90,1393,445
91,1390,445
92,1390,445
93,1390,447
94,1390,447
95,1388,447
96,1375,444
97,1298,440
