frame,x,y
0,1373,247
1,1373,244
2,1373,244
3,1366,306
4,1347,330
5,1347,332
6,1347,332
7,1346,330
8,1346,330
9,1346,330
10,1215,362
11,931,410
12,897,418
13,882,428
14,879,430
15,879,430
16,879,430
17,879,427
18,879,427
19,879,428
20,967,438
21,1309,418
22,1325,405
23,1325,405
24,1327,396
25,1327,394
26,1331,389
27,1331,386
28,1331,388
29,1280,422
30,872,538
31,863,555
32,877,559
33,904,562
34,919,557
35,929,554
36,939,552
37,941,550
38,941,550
39,943,552
40,943,555
41,943,550
42,945,552
43,1141,422
44,1385,273
