frame,x,y
0,1336,526
1,1334,526
2,1337,515
3,1337,515
4,1342,508
5,1344,511
6,1149,472
7,997,401
8,880,327
9,853,310
10,853,289
11,851,286
12,870,296
13,884,303
14,931,291
15,934,291
16,943,303
17,950,318
18,951,325
19,951,327
20,956,325
21,956,327
22,931,374
23,917,383
24,907,388
25,882,394
26,879,393
27,879,394
28,880,393
29,880,393
30,880,393
31,879,386
32,879,386
33,879,386
34,879,386
35,879,386
36,879,386
37,880,388
38,879,384
39,972,406
40,980,457
41,956,548
42,938,560
43,923,565
44,921,565
45,921,567
46,919,567
47,923,564
48,1004,496
49,1019,477
50,1034,464
51,1044,459
52,1072,454
