frame,x,y
0,1092,381
1,967,342
2,912,308
3,924,405
4,992,537
5,994,542
6,992,538
7,992,538
8,992,538
9,984,518
10,965,437
11,1087,422
12,1188,420
13,1434,352
14,1464,305
15,1493,278
16,1500,271
17,1498,271
18,1007,244
19,750,213
20,709,210
21,708,208
22,706,191
23,665,159
24,662,154
25,655,156
26,809,152
27,1068,151
28,1551,176
29,1625,181
30,1634,200
31,1603,213
32,1595,217
33,1595,217
34,1588,220
35,1581,225
36,1581,225
37,1581,225
38,1581,225
39,1581,225
40,1581,225
41,1581,225
42,1583,227
43,1583,225
44,1569,234
45,1457,350
46,1325,467
47,1329,469
48,1254,462
49,1022,416
50,875,227
51,845,220
52,828,229
53,777,286
54,770,252
55,769,225
56,789,223
57,838,230
58,921,445
59,945,540
60,943,552
61,941,554
62,939,550
63,939,550
64,939,550
65,939,550
66,939,550
67,939,550
68,939,550
69,939,550
70,939,550
71,939,550
72,939,550
73,953,547
74,1031,596
75,1043,620
76,1036,628
77,902,752
78,865,799
79,868,799
