frame,x,y
0,132,978
1,142,973
2,147,963
3,147,962
4,147,962
5,181,975
6,220,995
7,220,995
8,220,997
9,220,995
10,220,995
11,220,995
12,317,985
13,691,1033
14,1273,1073
15,1293,1066
16,1281,1051
17,1293,1038
18,1302,1034
19,1334,1011
20,1369,980
21,1371,980
22,1371,980
23,1363,984
24,1342,995
25,1342,997
26,1342,995
27,1441,919
28,1441,917
29,1449,899
30,1483,381
31,1452,345
32,1444,295
33,1474,273
34,1485,267
35,1515,239
36,1525,234
37,1525,237
38,1539,240
39,1547,245
40,1596,256
41,1596,261
42,1596,259
43,1596,257
44,1596,257
45,1596,259
46,1596,259
47,1676,259
48,1793,266
49,1794,264
50,1777,271
51,1759,271
52,1755,269
53,1755,269
54,1755,269
55,1755,271
56,1696,347
57,1569,476
58,1556,532
59,1586,628
60,1610,669
61,1679,725
62,1678,747
63,1672,752
64,1669,753
65,1667,755
66,1667,755
67,1667,755
68,1667,755
69,1667,755
70,1667,757
71,1667,758
72,1667,758
73,1667,758
74,1667,758
75,1667,760
76,1667,760
77,1667,760
78,1667,760
79,1667,760
80,1667,760
81,1667,760
82,1667,760
83,1667,760
84,1667,763
