frame,x,y
0,1500,151
1,1527,154
2,1535,156
3,1551,156
4,1551,156
5,1551,156
6,1551,156
7,1551,156
8,1551,156
9,1551,156
10,1551,156
11,1549,188
12,1537,191
13,1471,230
14,1444,269
15,1403,293
16,1376,311
17,1364,328
18,1329,332
19,819,467
20,818,467
21,701,435
22,726,381
23,728,362
24,721,339
25,735,278
26,748,227
27,730,207
28,730,207
29,719,208
30,481,205
31,459,205
32,459,203
33,455,207
34,452,267
35,467,289
36,616,291
37,730,301
38,763,306
39,772,328
40,779,344
41,774,234
42,758,218
43,743,200
44,743,201
45,743,200
46,657,200
47,572,200
48,450,200
49,454,200
50,469,200
51,482,198
52,484,201
53,484,201
54,484,201
55,484,201
56,488,210
57,489,213
58,489,213
59,489,213
60,474,222
61,474,222
62,481,223
63,481,223
64,425,218
65,408,212
66,401,201
67,740,215
68,826,223
69,787,281
70,821,296
71,775,306
72,775,305
73,694,306
74,457,235
75,364,159
76,306,157
77,293,157
78,273,156
79,273,151
80,271,149
81,269,149
82,262,151
83,262,151
84,262,151
85,262,151
86,262,151
87,262,151
88,262,151
89,262,151
90,262,152
91,262,152
92,262,152
93,262,152
94,262,152
95,262,152
96,262,152
97,262,152
98,262,152
99,262,152
100,262,152
101,262,152
102,262,152
103,262,152
104,262,152
105,262,152
106,262,152
107,262,152
108,399,147
109,1275,125
110,1315,127
111,1403,156
112,1490,159
113,1549,166
114,1590,179
115,1590,181
116,1590,181
117,1591,185
118,1590,188
119,1590,188
120,1590,188
121,1590,188
122,1561,208
123,1561,208
124,1542,212
125,1485,215
126,1307,210
127,990,208
128,997,210
129,907,208
130,716,208
131,716,212
132,648,212
133,640,179
134,633,163
135,631,171
136,762,411
137,1017,552
138,1036,565
139,1036,565
140,1024,552
141,1024,552
142,1011,547
143,542,318
144,420,205
