frame,x,y
0,1341,355
1,1346,354
2,1344,354
3,1344,352
4,1339,355
5,1319,361
6,1246,372
7,1232,374
8,1173,379
9,1060,386
10,894,394
11,846,398
12,843,399
13,829,403
14,811,398
15,811,393
16,811,388
17,811,386
18,809,386
19,809,386
20,809,386
21,809,386
22,809,386
23,809,386
24,809,384
25,809,384
26,809,384
27,811,384
28,1085,481
29,1353,604
30,1412,642
31,1417,652
32,1417,658
33,1419,662
34,1419,662
35,1417,665
36,1417,665
37,1417,665
38,1413,669
39,1412,669
40,1412,669
41,1412,669
42,1412,669
43,1417,672
44,1419,670
45,1419,670
46,1419,670
47,1419,669
48,1417,667
49,1422,667
50,1493,555
51,1478,479
52,1524,408
53,1524,408
54,1552,342
55,1552,352
56,1554,350
57,1554,362
58,1556,362
59,1556,362
60,1556,362
61,1556,362
62,1539,362
63,1529,364
64,1495,364
65,1474,362
66,1468,361
67,1466,361
68,1466,361
69,1481,361
70,1535,362
71,1544,362
72,1544,362
73,1556,361
74,1568,355
75,1571,355
76,1578,355
77,1584,367
78,1584,371
79,1527,372
80,1476,381
81,1473,383
82,1459,391
83,1437,394
84,1437,394
85,1437,394
86,1429,399
87,1429,399
88,1422,399
89,1424,399
90,1425,398
91,1429,398
92,1402,398
93,1375,401
94,1375,401
95,1425,399
96,1429,399
97,1425,399
98,1432,398
99,1435,398
100,1432,398
101,1432,398
102,1432,398
103,1432,398
104,1432,398
105,1432,398
106,1430,405
107,1425,418
108,1419,423
109,1419,425
110,1419,427
111,1419,427
112,1419,427
113,1419,427
114,1420,394
115,1432,383
116,1434,384
117,1469,376
118,1551,376
119,1578,376
120,1606,374
121,1684,381
122,1711,384
123,1728,391
124,1750,389
125,1774,394
126,1776,396
127,1793,396
128,1793,396
129,1796,399
130,1798,403
131,1786,403
132,1552,406
133,1149,433
134,1105,444
135,1056,489
136,1009,543
137,990,552
138,980,557
139,958,581
140,939,589
141,934,594
142,934,594
143,735,477
144,520,359
