frame,x,y
0,1645,317
1,1627,317
2,1627,315
3,1358,513
4,1273,560
5,1173,633
6,1124,638
7,1094,626
8,1094,625
9,1090,625
10,1073,640
11,1066,647
12,1061,657
13,1060,658
14,1061,657
15,1061,658
16,1060,645
17,990,560
18,978,550
19,970,550
20,963,564
21,965,567
22,965,567
23,965,567
24,995,537
25,1043,498
26,1114,433
27,1116,415
28,1117,410
29,1127,403
30,1136,399
31,1138,398
32,1139,393
33,1143,389
34,1141,389
35,1141,388
36,1141,388
37,1144,386
38,1144,384
39,1144,386
