frame,key,event
2217,'p',Pressed
2218,'p',Released
2226,'o',Pressed
2227,'o',Released
2233,'w',Pressed
2234,'w',Released
2237,'e',Pressed
2238,'e',Released
2245,'r',Released
2258,'s',Released
2266,'h',Released
2272,'e',Pressed
2273,'e',Released
2332,Key.backspace,Released
2360,Key.backspace,Pressed
2361,Key.backspace,Released
2378,Key.backspace,Pressed
2379,Key.backspace,Released
2396,Key.enter,Pressed
2397,Key.enter,Released
3274,Key.down,Released
3275,Key.up,Released
3302,Key.up,Released
3316,Key.down,Released
3366,Key.enter,Pressed
3367,Key.enter,Released
6744,Key.up,Released
6796,Key.enter,Released
8162,Key.space,Released
8171,'i',Released
8180,'p',Pressed
8181,'p',Released
8331,Key.backspace,Released
8338,Key.backspace,Pressed
8339,Key.backspace,Released
8471,Key.backspace,Pressed
8472,Key.backspace,Released
8501,Key.backspace,Pressed
8502,Key.backspace,Released
8506,Key.backspace,Pressed
8507,Key.backspace,Released
8511,Key.backspace,Pressed
8512,Key.backspace,Released
8516,Key.backspace,Pressed
8517,Key.backspace,Released
8521,Key.backspace,Pressed
8522,Key.backspace,Released
8526,Key.backspace,Pressed
8527,Key.backspace,Released
8531,Key.backspace,Pressed
8532,Key.backspace,Released
8536,Key.backspace,Pressed
8537,Key.backspace,Released
8587,'i',Released
8595,'p',Pressed
8596,'p',Released
8655,'.',Pressed
8656,'.',Released
8662,'a',Pressed
8663,'a',Released
8673,'d',Released
8683,'d',Released
8927,Key.backspace,Pressed
8928,Key.backspace,Released
8938,Key.backspace,Released
8946,Key.backspace,Pressed
8947,Key.backspace,Released
8955,Key.backspace,Released
8992,Key.backspace,Pressed
8993,Key.backspace,Released
9035,'1',Released
9058,'6',Pressed
9059,'6',Released
9069,'8',Pressed
9070,'8',Released
9102,'.',Pressed
9103,'.',Released
9174,'8',Pressed
9175,'8',Released
9182,'1',Released
9205,'.',Released
9233,'2',Released
9238,'8',Pressed
9239,'8',Released
9278,Key.backspace,Pressed
9279,Key.backspace,Released
9296,Key.backspace,Pressed
9297,Key.backspace,Released
9332,'8',Pressed
9333,'8',Released
9338,'2',Pressed
9339,'2',Released
9365,Key.enter,Pressed
9366,Key.enter,Released
11413,Key.alt_l,Released
11414,Key.ctrl_l,Released
11847,Key.up,Released
11885,Key.enter,Pressed
11886,Key.enter,Released
13836,'d',Pressed
13837,'d',Released
13841,'n',Pressed
13842,'n',Released
13847,'s',Pressed
13848,'s',Released
13860,Key.enter,Released
17883,Key.alt_l,Released
17884,Key.ctrl_l,Released
