frame,x,y,button,event
17,1905,452,Button.left,Pressed
49,1905,453,Button.left,Released
55,1905,453,Button.left,Pressed
60,1905,453,Button.left,Released
65,1905,453,Button.left,Pressed
70,1905,453,Button.left,Released
74,1905,453,Button.left,Pressed
79,1905,453,Button.left,Released
85,1905,453,Button.left,Pressed
88,1905,453,Button.left,Released
93,1905,453,Button.left,Pressed
99,1905,453,Button.left,Released
103,1905,453,Button.left,Pressed
108,1905,453,Button.left,Released
112,1905,453,Button.left,Pressed
115,1905,453,Button.left,Released
121,1905,453,Button.left,Pressed
125,1905,453,Button.left,Released
184,1911,497,Button.left,Pressed
189,1911,497,Button.left,Released
193,1911,497,Button.left,Pressed
198,1911,497,Button.left,Released
202,1911,497,Button.left,Pressed
207,1911,497,Button.left,Released
241,1910,508,Button.left,Pressed
247,1910,508,Button.left,Released
252,1910,508,Button.left,Pressed
256,1910,508,Button.left,Released
344,1908,472,Button.left,Pressed
350,1908,472,Button.left,Released
388,1905,448,Button.left,Pressed
395,1905,448,Button.left,Released
491,1903,410,Button.left,Pressed
497,1903,410,Button.left,Released
524,1900,377,Button.left,Pressed
531,1900,377,Button.left,Released
568,1900,328,Button.left,Pressed
577,1900,328,Button.left,Released
600,1900,304,Button.left,Pressed
607,1900,304,Button.left,Released
709,1899,286,Button.left,Pressed
717,1899,286,Button.left,Released
739,1897,268,Button.left,Pressed
747,1897,268,Button.left,Released
774,1895,253,Button.left,Pressed
783,1895,253,Button.left,Released
898,1116,125,Button.left,Pressed
904,1116,125,Button.left,Released
1040,1904,218,Button.left,Pressed
1047,1904,218,Button.left,Released
1219,730,147,Button.left,Pressed
1227,730,147,Button.left,Released
1378,352,40,Button.left,Pressed
1384,352,40,Button.left,Released
1485,948,282,Button.left,Pressed
1490,948,282,Button.left,Released
1569,721,221,Button.left,Pressed
1573,721,221,Button.left,Released
1661,657,190,Button.left,Pressed
1744,682,166,Button.left,Released
1761,767,287,Button.left,Pressed
1765,767,287,Button.left,Released
1786,764,342,Button.left,Pressed
1790,764,342,Button.left,Released
1819,758,393,Button.left,Pressed
1823,758,393,Button.left,Released
1933,352,35,Button.left,Pressed
1943,352,35,Button.left,Released
2216,758,545,Button.left,Pressed
2219,758,545,Button.left,Released
2468,1568,95,Button.left,Pressed
2473,1568,95,Button.left,Released
3271,681,401,Button.right,Pressed
3276,681,401,Button.right,Released
3666,1028,675,Button.left,Pressed
3671,1028,676,Button.left,Released
3872,1571,18,Button.left,Pressed
3879,1571,18,Button.left,Released
3950,721,209,Button.right,Pressed
3953,721,209,Button.right,Released
4404,1127,230,Button.left,Pressed
4405,1127,230,Button.left,Released
6483,48,29,Button.left,Pressed
6487,47,30,Button.left,Released
7180,1231,302,Button.left,Pressed
7184,1232,302,Button.left,Released
