frame,x,y
0,867,282
1,867,282
2,867,282
3,867,282
4,867,282
5,867,282
6,867,282
7,867,282
8,867,282
9,867,282
10,867,282
11,867,282
12,867,282
13,867,282
14,867,282
15,867,282
16,867,282
17,867,282
18,867,282
19,867,282
20,867,282
21,867,282
22,867,284
23,867,317
24,865,337
25,864,370
26,861,390
27,859,408
28,855,420
29,853,424
30,849,426
31,815,424
32,783,410
33,746,396
34,710,385
35,672,380
36,639,379
37,596,379
38,583,378
39,572,378
40,563,377
41,558,377
42,552,377
43,548,377
44,543,377
45,543,377
46,542,377
47,542,377
48,542,377
49,542,377
50,542,377
51,542,377
52,542,377
53,542,377
54,542,377
55,542,377
56,542,377
57,542,377
58,542,377
59,540,377
60,512,371
61,503,368
62,496,366
63,483,363
64,473,363
65,467,363
66,463,363
67,462,363
68,462,363
69,461,363
70,461,363
71,461,363
72,461,363
73,460,363
74,459,363
75,458,363
76,458,363
77,458,363
78,458,363
79,458,364
80,457,364
81,457,365
82,456,365
83,456,365
84,456,365
85,456,365
86,456,365
87,456,365
88,456,366
89,456,367
90,456,369
91,457,371
92,458,373
93,460,376
94,460,376
95,464,379
96,466,380
97,467,382
98,468,382
99,468,382
100,468,383
101,469,384
102,470,384
103,470,385
104,471,386
105,472,387
106,473,389
107,474,390
108,475,391
109,476,392
110,476,393
111,477,393
112,477,393
113,477,394
114,477,394
115,478,394
116,478,394
117,478,394
118,478,394
119,478,394
120,478,394
121,478,394
122,478,394
123,478,394
124,478,394
125,478,394
126,478,394
127,478,394
128,478,394
129,478,394
130,478,394
131,478,394
132,478,394
133,478,394
134,478,394
135,478,394
136,478,394
137,478,394
138,478,394
139,478,394
140,478,394
141,478,394
142,478,394
143,478,394
144,478,394
145,478,394
146,478,394
147,478,394
148,478,394
149,478,394
150,478,394
151,478,394
152,478,394
153,478,394
154,478,394
155,478,394
156,478,394
157,478,394
158,478,394
159,459,372
160,425,328
161,378,268
162,316,191
163,287,157
164,272,140
165,272,140
166,267,134
167,267,134
168,267,134
169,267,134
170,267,134
171,267,134
172,266,134
173,260,134
174,251,134
175,238,134
176,203,124
177,188,118
178,176,113
179,171,109
180,169,108
181,169,108
182,169,108
183,169,108
184,169,108
185,168,107
186,166,106
187,161,104
188,148,95
189,142,90
190,137,86
191,134,82
192,129,79
193,121,75
194,106,69
195,99,66
196,93,63
197,87,61
198,85,59
199,83,58
200,82,58
201,81,58
202,79,58
203,77,58
204,76,58
205,72,58
206,69,58
207,65,60
208,63,60
209,60,60
210,57,60
211,50,60
212,45,60
213,44,60
214,42,60
215,40,60
216,37,60
217,35,60
218,31,60
219,28,60
220,25,60
221,23,59
222,22,59
223,18,58
224,15,58
225,14,57
226,10,55
227,10,55
228,10,55
229,10,55
230,10,55
231,10,55
232,10,55
233,10,55
234,10,55
235,10,55
236,10,55
237,10,55
238,10,55
239,10,55
240,10,55
241,10,55
242,12,55
243,34,63
244,70,76
245,116,95
246,175,121
247,277,172
248,325,196
249,364,214
250,399,232
251,451,257
252,506,292
253,575,332
254,715,405
255,775,427
256,817,443
257,845,451
258,858,456
259,868,460
260,874,463
261,877,465
262,877,465
263,878,465
264,878,466
265,879,468
266,881,472
267,886,478
268,896,489
269,903,498
270,913,505
271,926,517
272,936,528
273,947,539
274,952,547
275,956,552
276,956,552
277,957,553
278,957,553
279,959,555
280,961,556
281,962,558
282,963,560
283,964,561
284,965,561
285,966,562
286,974,569
287,984,579
288,991,584
289,995,587
290,996,588
291,997,588
292,997,588
293,997,585
294,997,584
295,997,584
296,997,583
297,997,583
298,998,583
299,999,583
300,999,583
301,999,583
302,999,583
303,999,583
304,999,583
305,999,583
306,999,583
307,999,583
308,999,583
309,999,583
310,999,583
311,999,583
312,999,583
313,999,583
314,999,583
315,999,581
316,999,579
317,999,577
318,999,576
319,999,575
320,999,575
321,999,575
322,999,575
323,999,575
324,999,575
325,999,576
326,1000,576
327,1000,576
328,1000,576
329,1000,576
330,1000,576
331,1000,576
332,1000,576
333,1000,576
334,1000,576
335,1000,576
336,1000,576
337,1000,576
338,1000,576
339,1000,576
340,1000,576
341,1000,576
342,1000,576
343,1000,576
344,998,576
345,970,562
346,928,535
347,874,503
348,840,484
349,797,461
350,765,440
351,741,422
352,723,406
353,708,394
354,708,394
355,708,394
356,708,394
357,708,394
358,708,394
359,708,394
360,708,394
361,708,394
362,708,394
363,707,394
364,687,394
365,664,394
366,615,399
367,594,401
368,594,401
369,581,402
370,581,402
371,581,402
372,581,402
373,581,402
374,581,402
375,581,402
376,581,402
377,581,402
378,581,402
379,581,402
380,581,402
381,581,402
382,580,402
383,572,409
384,546,430
385,537,436
386,528,442
387,524,444
388,523,445
389,523,445
390,522,445
391,522,445
392,522,445
393,522,445
394,522,445
395,522,445
396,522,445
397,522,445
398,522,445
399,521,472
400,521,472
401,520,543
402,516,589
403,512,651
404,507,702
405,498,747
406,482,808
407,475,826
408,470,835
409,470,835
410,459,844
411,452,847
412,442,852
413,416,867
414,398,879
415,386,889
416,375,897
417,369,902
418,367,904
419,365,906
420,362,908
421,354,913
422,348,917
423,339,923
424,332,930
425,323,940
426,316,946
427,305,954
428,302,957
429,297,964
430,291,975
431,282,991
432,271,1009
433,265,1021
434,258,1032
435,254,1038
436,254,1040
437,253,1040
438,253,1041
439,251,1042
440,249,1043
441,246,1046
442,244,1047
443,242,1049
444,239,1050
445,237,1051
446,236,1052
447,235,1052
448,234,1052
449,233,1052
450,231,1052
451,230,1052
452,229,1052
453,229,1052
454,229,1052
455,229,1052
456,229,1053
457,229,1053
458,229,1053
459,229,1053
460,229,1053
461,229,1053
462,229,1053
463,229,1053
464,229,1053
465,229,1053
466,229,1053
467,229,1053
468,229,1052
469,237,1027
470,254,987
471,278,926
472,306,841
473,351,705
474,386,568
475,446,329
476,472,229
477,494,156
478,508,94
479,514,69
480,520,38
481,520,33
482,520,31
483,520,29
484,520,29
485,520,29
486,519,28
487,519,28
488,519,28
489,519,28
490,519,28
491,518,28
492,518,28
493,517,29
494,511,51
495,509,63
496,508,70
497,507,73
498,507,73
499,499,77
500,487,79
501,454,82
502,421,84
503,372,84
504,324,84
505,282,84
506,238,84
507,218,79
508,189,71
509,176,71
510,166,71
511,155,73
512,149,77
513,144,80
514,141,82
515,140,83
516,138,83
517,137,83
518,136,83
519,134,83
520,133,83
521,132,82
522,132,81
523,131,80
524,131,80
525,129,77
526,129,77
527,129,77
528,129,77
529,129,77
530,129,77
531,129,77
532,129,77
533,129,77
534,129,77
535,129,77
536,129,77
537,129,77
538,129,77
539,127,77
540,124,77
541,121,77
542,117,76
543,115,76
544,115,75
545,114,75
546,113,75
547,113,74
548,112,74
549,110,72
550,109,71
551,108,70
552,106,68
553,105,67
554,104,66
555,102,64
556,101,64
557,101,64
558,101,64
559,101,64
560,101,64
561,101,64
562,101,64
563,101,64
564,101,64
565,101,64
566,102,63
567,144,96
568,185,131
569,228,174
570,255,200
571,296,237
572,327,267
573,346,288
574,358,303
575,360,306
576,360,306
577,360,307
578,360,307
579,360,307
580,360,307
581,360,307
582,360,307
583,360,307
584,360,307
585,360,307
586,362,308
587,379,326
588,404,352
589,427,379
590,457,415
591,470,434
592,487,461
593,487,461
594,487,461
595,487,461
596,487,461
597,487,461
598,487,461
599,487,461
600,487,461
601,487,461
602,487,461
603,487,461
604,487,462
605,487,471
606,487,489
607,487,504
608,487,530
609,487,535
610,487,537
611,487,537
612,487,537
613,487,538
614,487,538
615,487,538
616,487,538
617,487,538
618,487,538
619,487,538
620,487,538
621,487,538
622,487,538
623,487,538
624,487,538
625,487,538
626,487,538
627,487,538
628,487,538
629,487,538
630,487,538
631,487,538
632,487,538
633,487,538
634,487,538
635,487,538
636,487,538
637,487,538
638,487,538
639,487,538
640,487,538
641,487,538
642,487,538
643,487,538
644,487,538
645,487,538
646,487,538
647,487,538
648,487,538
649,487,538
650,485,536
651,464,517
652,444,501
653,414,462
654,401,434
