frame,key,event
34,Key.shift,Pressed
45,Key.shift,Released
132,Key.shift,Pressed
137,Key.shift,Released
138,'n',Released
139,Key.shift,Released
140,'s',Released
141,Key.shift,Pressed
142,Key.shift,Released
237,'l',Pressed
238,'l',Released
247,'o',Pressed
248,'o',Released
253,'o',Released
262,'k',Pressed
263,'k',Released
289,'u',Pressed
290,'u',Released
300,'p',Released
333,Key.space,Released
358,'w',Pressed
359,'w',Released
368,'w',Released
375,'w',Released
384,'.',Pressed
385,'.',Released
398,'b',Pressed
399,'b',Released
402,'a',Pressed
403,'a',Released
409,'o',Pressed
410,'i',Pressed
411,'i',Released
417,'d',Released
425,'u',Released
448,Key.backspace,Released
455,Key.backspace,Released
462,Key.backspace,Released
467,Key.backspace,Released
484,'i',Released
485,'u',Pressed
486,'u',Released
491,'d',Pressed
492,'d',Released
497,'u',Pressed
498,'u',Released
522,Key.backspace,Pressed
523,Key.backspace,Released
529,Key.backspace,Released
535,Key.backspace,Pressed
536,Key.backspace,Released
543,'d',Pressed
544,'d',Released
550,'u',Released
594,'.',Released
602,'c',Released
613,'o',Pressed
614,'o',Released
617,'m',Pressed
618,'m',Released
637,Key.enter,Released
