frame,x,y,button,event
0,333,146,Button.left,Pressed
5,333,146,Button.left,Released
179,30,812,Button.left,Pressed
185,30,812,Button.left,Released
207,164,812,Button.left,Pressed
213,164,812,Button.left,Released
503,308,618,Button.left,Pressed
507,308,618,Button.left,Released
511,308,618,Button.left,Pressed
517,308,618,Button.left,Released
702,265,637,Button.left,Pressed
706,265,637,Button.left,Released
730,264,626,Button.left,Pressed
736,264,626,Button.left,Released
764,265,642,Button.left,Pressed
769,265,642,Button.left,Released
791,265,651,Button.left,Pressed
795,265,651,Button.left,Released
817,265,675,Button.left,Pressed
821,265,675,Button.left,Released
